hospital_group,fl_round,batch_size,alpha,cos_sim,rmse,mae,label_recovery,outcome_class
3,15,16,0.05,0.31599,4.11725,2.96163,0,0
3,15,16,0.1,0.18685,4.89015,3.8987,0,0
3,15,16,0.2,-0.11486,9.66623,7.83666,0,0
3,15,32,0.0,-0.16146,4.05516,2.81274,0,0
3,15,32,0.01,0.19984,7.99335,4.87413,0,0
3,15,32,0.05,-0.02772,6.94032,4.84316,0,0
3,15,32,0.1,0.04928,12.21701,9.63315,0,0
3,15,32,0.2,-0.02547,26.53917,20.31791,0,0
4,1,1,0.0,1.0,0.5419,0.31987,0,0
4,1,1,0.01,0.99792,0.55298,0.34587,0,1
4,1,1,0.05,0.9449,0.47718,0.33366,0,0
4,1,1,0.1,0.83876,0.44025,0.32864,0,0
4,1,1,0.2,0.69177,0.70108,0.40224,0,0
4,1,4,0.0,0.39585,1.11753,0.66063,0,0
4,1,4,0.01,0.80158,0.64331,0.422,0,0
4,1,4,0.05,0.5525,0.90053,0.70404,0,0
4,1,4,0.1,0.75087,5.06816,1.53374,0,0
4,1,4,0.2,0.32122,1.59945,1.29652,0,0
4,1,16,0.0,-0.02765,4.18072,2.07249,0,0
4,1,16,0.01,0.88955,1.42383,1.09311,0,0
4,1,16,0.05,0.04378,2.36805,1.87553,0,0
4,1,16,0.1,0.15642,3.22533,2.52965,0,0
4,1,16,0.2,0.05182,7.01316,5.29955,0,0
4,1,32,0.0,0.12873,4.37251,2.84125,0,0
4,1,32,0.01,0.24319,9.98354,6.88401,0,0
4,1,32,0.05,0.26056,3.92595,3.14038,0,0
4,1,32,0.1,0.33325,9.87196,8.47612,0,0
4,1,32,0.2,0.1776,13.63817,10.92595,0,0
4,4,1,0.0,1.0,0.36632,0.24581,0,0
4,4,1,0.01,0.9974,5.60164,1.27827,0,0
4,4,1,0.05,0.94045,1.98142,0.75529,0,0
4,4,1,0.1,0.70723,0.29094,0.23359,0,0
4,4,1,0.2,0.59513,0.60057,0.45107,0,0
4,4,4,0.0,0.29549,1.0426,0.76689,0,0
4,4,4,0.01,0.89254,0.57173,0.43533,0,0
4,4,4,0.05,0.67973,0.88704,0.73446,0,0
4,4,4,0.1,0.43072,1.22334,0.9682,0,0
4,4,4,0.2,0.07691,1.72775,1.32615,0,0
4,4,16,0.0,0.10912,2.38064,1.62068,0,0
4,4,16,0.01,0.10404,2.7103,2.04096,0,0
4,4,16,0.05,0.28735,5.17307,3.04015,0,0
4,4,16,0.1,-0.12687,6.02945,4.8737,0,0
4,4,16,0.2,-0.02204,7.42159,6.03183,0,0
4,4,32,0.0,0.15645,9.67478,6.69012,0,0
4,4,32,0.01,0.2117,2.91041,2.10985,0,0
4,4,32,0.05,-0.91213,11.04854,7.0771,1,1
4,4,32,0.1,-0.17363,8.77375,6.99559,0,0
4,4,32,0.2,0.06762,15.80154,12.25886,0,0
4,8,1,0.0,1.0,0.26744,0.16959,0,0
4,8,1,0.01,0.99677,0.57755,0.33701,0,0
4,8,1,0.05,0.88979,0.2579,0.19315,0,0
4,8,1,0.1,0.66192,0.34846,0.27163,0,0
4,8,1,0.2,0.60748,0.58133,0.43561,0,0
4,8,4,0.0,0.41795,1.12338,0.72644,0,0
4,8,4,0.01,0.72638,0.89788,0.63603,0,0
4,8,4,0.05,-0.02595,1.15136,0.86597,0,0
4,8,4,0.1,-0.04832,1.31725,0.99799,0,0
4,8,4,0.2,0.14984,1.94117,1.54166,0,0
4,8,16,0.0,0.14849,4.39468,2.90497,0,0
4,8,16,0.01,0.06751,4.27276,3.08842,0,0
4,8,16,0.05,-0.00064,4.77107,3.39872,0,0
4,8,16,0.1,0.08726,4.17992,3.54425,0,0
4,8,16,0.2,-0.06366,8.49159,6.82844,0,0
4,8,32,0.0,-0.08766,6.97785,3.94496,0,0
4,8,32,0.01,-0.17001,5.76752,4.05697,0,0
4,8,32,0.05,0.25202,4.3588,3.57039,0,0
4,8,32,0.1,-0.04337,11.04827,8.35626,0,0
4,8,32,0.2,0.2052,14.83123,12.56725,0,0
4,12,1,0.0,1.0,0.36965,0.17716,0,0
4,12,1,0.01,0.99667,0.63057,0.38006,0,0
4,12,1,0.05,0.83995,0.29743,0.21185,0,0
4,12,1,0.1,0.76658,0.7409,0.42221,0,0
4,12,1,0.2,0.1991,0.7964,0.60899,0,0
4,12,4,0.0,0.43495,0.93017,0.63785,0,0
4,12,4,0.01,0.34442,0.76069,0.57128,0,0
4,12,4,0.05,-0.32086,1.25699,0.78864,0,0
4,12,4,0.1,0.46692,1.35754,1.05221,0,0
4,12,4,0.2,0.13127,2.18761,1.7474,0,0
4,12,16,0.0,0.17435,4.29802,3.30173,0,0
4,12,16,0.01,0.34868,2.61582,1.65708,0,0
4,12,16,0.05,0.09177,2.52016,1.9927,0,0
4,12,16,0.1,-0.12883,4.70828,3.65635,0,0
