dataset,attack,f,f_pct,defense,krum_applicable,seed,auroc,pr_auc,bal_acc,mcc,auc_lc,bsr,convergence_fail,runtime_s,comm_params_per_round,auroc_clean,auroc_degradation,aggregator_effective,run_status
eicu,sign_flip,1,12.5,fedavg,True,11,0.88025,0.42859,0.80639,0.291,0.8703707142857143,,0,0.269,976,0.88994,-0.0096899999999999,fedavg,valid_primary
eicu,sign_flip,1,12.5,fedavg,True,19,0.88468,0.48346,0.80639,0.291,0.8780946428571429,,0,0.271,976,0.89102,-0.00634,fedavg,valid_primary
eicu,sign_flip,1,12.5,fedavg,True,23,0.88,0.47366,0.79056,0.27873,0.8711521428571428,,0,0.276,976,0.88835,-0.0083499999999999,fedavg,valid_primary
eicu,sign_flip,1,12.5,fedavg,True,37,0.88159,0.45226,0.8043,0.28792,0.8771650000000001,,0,0.278,976,0.89203,-0.01044,fedavg,valid_primary
eicu,sign_flip,1,12.5,coord_median,True,7,0.89236,0.47898,0.8137,0.30217,0.8827696428571427,,0,0.266,976,0.89253,-0.00017,coord_median,valid_primary
eicu,sign_flip,1,12.5,coord_median,True,11,0.89503,0.50894,0.80848,0.29413,0.8824278571428572,,0,0.263,976,0.89177,0.00326,coord_median,valid_primary
eicu,sign_flip,1,12.5,coord_median,True,19,0.89344,0.5309,0.80952,0.29571,0.8831821428571428,,0,0.266,976,0.89244,0.001,coord_median,valid_primary
eicu,sign_flip,1,12.5,coord_median,True,23,0.89002,0.51878,0.81996,0.3123,0.8780592857142858,,0,0.263,976,0.88902,0.001,coord_median,valid_primary
eicu,sign_flip,1,12.5,coord_median,True,37,0.88927,0.49235,0.81161,0.29891,0.8830714285714286,,0,0.267,976,0.89328,-0.0040099999999999,coord_median,valid_primary
eicu,sign_flip,1,12.5,trimmed_mean,True,7,0.89177,0.49732,0.8137,0.30217,0.8822792857142859,,0,0.267,976,0.8937,-0.00193,trimmed_mean,valid_primary
eicu,sign_flip,1,12.5,trimmed_mean,True,11,0.89169,0.47811,0.80952,0.29571,0.8808496428571427,,0,0.272,976,0.89395,-0.00226,trimmed_mean,valid_primary
eicu,sign_flip,1,12.5,trimmed_mean,True,19,0.89136,0.50885,0.81265,0.30054,0.8818903571428571,,0,0.272,976,0.8947,-0.00334,trimmed_mean,valid_primary
eicu,sign_flip,1,12.5,trimmed_mean,True,23,0.88818,0.50646,0.81787,0.30886,0.8766717857142857,,0,0.263,976,0.89194,-0.0037599999999999,trimmed_mean,valid_primary
eicu,sign_flip,1,12.5,trimmed_mean,True,37,0.88818,0.48746,0.80848,0.29413,0.8828232142857141,,0,0.267,976,0.89578,-0.0076,trimmed_mean,valid_primary
eicu,sign_flip,1,12.5,krum,True,7,0.88985,0.44898,0.80221,0.2849,0.8818696428571428,,0,0.265,976,0.89704,-0.0071899999999999,krum,valid_primary
eicu,sign_flip,1,12.5,krum,True,11,0.89887,0.5241,0.80952,0.29571,0.8810321428571426,,0,0.271,976,0.87357,0.0252999999999999,krum,valid_primary
eicu,sign_flip,1,12.5,krum,True,19,0.88676,0.52375,0.79595,0.27609,0.8812978571428571,,0,0.27,976,0.88676,0.0,krum,valid_primary
eicu,sign_flip,1,12.5,krum,True,23,0.87232,0.44917,0.81161,0.29891,0.8616282142857142,,0,0.275,976,0.87232,0.0,krum,valid_primary
eicu,sign_flip,1,12.5,krum,True,37,0.88668,0.52044,0.80743,0.29256,0.8818171428571427,,0,0.279,976,0.88935,-0.0026699999999999,krum,valid_primary
eicu,sign_flip,1,12.5,clipping,True,7,0.89236,0.46997,0.80534,0.28946,0.8814139285714285,,0,0.275,976,0.89052,0.00184,clipping,valid_primary
eicu,sign_flip,1,12.5,clipping,True,11,0.88025,0.42859,0.80639,0.291,0.8703707142857143,,0,0.275,976,0.88994,-0.0096899999999999,clipping,valid_primary
eicu,sign_flip,1,12.5,clipping,True,19,0.88468,0.48346,0.80639,0.291,0.8780946428571429,,0,0.278,976,0.89102,-0.00634,clipping,valid_primary
eicu,sign_flip,1,12.5,clipping,True,23,0.88,0.47366,0.79056,0.27873,0.8711521428571428,,0,0.299,976,0.88835,-0.0083499999999999,clipping,valid_primary
eicu,sign_flip,1,12.5,clipping,True,37,0.88159,0.45226,0.8043,0.28792,0.8771650000000001,,0,0.262,976,0.89203,-0.01044,clipping,valid_primary
eicu,sign_flip,2,25.0,fedavg,True,7,0.87958,0.4341,0.7876,0.26493,0.870967142857143,,0,0.26,976,0.89052,-0.0109399999999999,fedavg,valid_primary
eicu,sign_flip,2,25.0,fedavg,True,11,0.86747,0.37636,0.79073,0.26904,0.8573985714285713,,0,0.265,976,0.88994,-0.0224699999999999,fedavg,valid_primary
eicu,sign_flip,2,25.0,fedavg,True,19,0.89027,0.49419,0.78864,0.26629,0.8759832142857144,,0,0.275,976,0.89102,-0.00075,fedavg,valid_primary
eicu,sign_flip,2,25.0,fedavg,True,23,0.86013,0.39758,0.78326,0.26801,0.8490878571428571,,0,0.277,976,0.88835,-0.02822,fedavg,valid_primary
eicu,sign_flip,2,25.0,fedavg,True,37,0.8805,0.42687,0.79804,0.27898,0.8766985714285714,,0,0.269,976,0.89203,-0.01153,fedavg,valid_primary
eicu,sign_flip,2,25.0,coord_median,True,7,0.88618,0.48616,0.80013,0.28192,0.8781664285714286,,0,0.272,976,0.89253,-0.00635,coord_median,valid_primary
eicu,sign_flip,2,25.0,coord_median,True,11,0.89203,0.46464,0.80326,0.2864,0.8815085714285714,,0,0.27,976,0.89177,0.00026,coord_median,valid_primary
eicu,sign_flip,2,25.0,coord_median,True,19,0.89303,0.51909,0.80639,0.291,0.8815760714285715,,0,0.273,976,0.89244,0.0005899999999999,coord_median,valid_primary
eicu,sign_flip,2,25.0,coord_median,True,23,0.88969,0.52007,0.80952,0.29571,0.8764332142857143,,0,0.289,976,0.88902,0.0006699999999999,coord_median,valid_primary
eicu,sign_flip,2,25.0,coord_median,True,37,0.89044,0.47079,0.81056,0.2973,0.8853892857142858,,0,0.295,976,0.89328,-0.0028399999999999,coord_median,valid_primary
eicu,sign_flip,2,25.0,trimmed_mean,True,7,0.8861,0.45844,0.80117,0.2834,0.8776707142857143,,0,0.287,976,0.8937,-0.0076,trimmed_mean,valid_primary
eicu,sign_flip,2,25.0,trimmed_mean,True,11,0.89069,0.45295,0.80326,0.2864,0.8793200000000001,,0,0.286,976,0.89395,-0.00326,trimmed_mean,valid_primary
eicu,sign_flip,2,25.0,trimmed_mean,True,19,0.8937,0.52113,0.80848,0.29413,0.8828257142857143,,0,0.269,976,0.8947,-0.001,trimmed_mean,valid_primary
eicu,sign_flip,2,25.0,trimmed_mean,True,23,0.88651,0.49117,0.81056,0.2973,0.8737125000000001,,0,0.266,976,0.89194,-0.0054299999999999,trimmed_mean,valid_primary
eicu,sign_flip,2,25.0,trimmed_mean,True,37,0.88835,0.45506,0.81056,0.2973,0.8838410714285716,,0,0.271,976,0.89578,-0.00743,trimmed_mean,valid_primary
eicu,sign_flip,2,25.0,krum,True,7,0.89704,0.5156,0.80743,0.29256,0.8804771428571428,,0,0.266,976,0.89704,0.0,krum,valid_primary
eicu,sign_flip,2,25.0,krum,True,11,0.89887,0.5241,0.80952,0.29571,0.8810321428571426,,0,0.278,976,0.87357,0.0252999999999999,krum,valid_primary
eicu,sign_flip,2,25.0,krum,True,19,0.89086,0.45597,0.8043,0.28792,0.8821714285714285,,0,0.283,976,0.88676,0.0040999999999999,krum,valid_primary
