model_seed,crn_idx,scenario,round,n_attend,participation_clinical,active_clients,auroc,pr_auc,comm_cost_params,comm_cost_bytes,chain_hash
7,2,C1,15,351,0.8731,2,0.55518,0.22771,48,192,55ece501e47d388f
7,2,C1,16,347,0.8632,2,0.56315,0.22714,48,192,9a16ece796b64fd1
7,2,C1,17,352,0.8756,2,0.57668,0.20624,48,192,09029ea829375a14
7,2,C1,18,348,0.8657,2,0.55323,0.22309,48,192,2a4ab233df034107
7,2,C1,19,341,0.8483,2,0.55072,0.21947,48,192,fc127a16a9f33753
7,2,C1,20,345,0.8582,2,0.5642,0.20075,48,192,17549ef14b85f69f
7,2,C2,1,359,0.893,2,0.55849,0.22389,48,192,b8c6a4d893def754
7,2,C2,2,347,0.8632,2,0.55453,0.2335,48,192,9a0ae9f7e85ee709
7,2,C2,3,337,0.8383,2,0.55483,0.19901,48,192,c6cd46cdd55afc4e
7,2,C2,4,362,0.9005,2,0.5434,0.22549,48,192,e8342d17ed1a3b29
7,2,C2,5,347,0.8632,2,0.5637,0.1982,48,192,216f26916572f1d4
7,2,C2,6,343,0.8532,2,0.53874,0.20481,48,192,0b6f064c9c75e9d3
7,2,C2,7,353,0.8781,2,0.55814,0.2289,48,192,fa00d6e68d92e015
7,2,C2,8,348,0.8657,2,0.55694,0.23156,48,192,d645c4151aa26654
7,2,C2,9,367,0.9129,2,0.55243,0.22269,48,192,7d0c45c7e7fab45d
7,2,C2,10,340,0.8458,2,0.55914,0.23798,48,192,88d4fb90bf8ca521
7,2,C2,11,347,0.8632,2,0.55373,0.22767,48,192,b7752dd23125802f
7,2,C2,12,352,0.8756,2,0.57403,0.19834,48,192,ee66f1e3f4339d44
7,2,C2,13,343,0.8532,2,0.54967,0.2408,48,192,bede954a46bfdde7
7,2,C2,14,343,0.8532,2,0.55538,0.23217,48,192,34c3355325d5762a
7,2,C2,15,355,0.8831,2,0.55543,0.22666,48,192,0d3e0228ec9d19b8
7,2,C2,16,353,0.8781,2,0.56425,0.22063,48,192,8be986613eef306b
7,2,C2,17,356,0.8856,2,0.57393,0.2101,48,192,79281b4664a63468
7,2,C2,18,353,0.8781,2,0.563,0.22481,48,192,85300455b146141f
7,2,C2,19,346,0.8607,2,0.55027,0.22273,48,192,2f491d54e78caabc
7,2,C2,20,357,0.8881,2,0.56435,0.20618,48,192,f777f464fdaad1da
7,2,C3,1,364,0.9055,2,0.55634,0.22153,48,192,58a5cc21be545464
7,2,C3,2,357,0.8881,2,0.55423,0.23738,48,192,aa53b4e5482a48aa
7,2,C3,3,340,0.8458,2,0.55899,0.20806,48,192,db47eff5d0ca7447
7,2,C3,4,364,0.9055,2,0.54566,0.22298,48,192,730900a353abce0c
7,2,C3,5,351,0.8731,2,0.56285,0.20005,48,192,60f0eea9550400d2
7,2,C3,6,354,0.8806,2,0.53383,0.20271,48,192,caa763eaff58074a
7,2,C3,7,357,0.8881,2,0.55944,0.23474,48,192,f056dba07dfb5593
7,2,C3,8,354,0.8806,2,0.55253,0.23225,48,192,a5232aa67c10c0fe
7,2,C3,9,373,0.9279,2,0.55588,0.22604,48,192,efa4d546fd5dfc48
7,2,C3,10,349,0.8682,2,0.55373,0.23992,48,192,f4da20e7268e229e
7,2,C3,11,352,0.8756,2,0.55313,0.22805,48,192,8d4430af29b5152d
7,2,C3,12,362,0.9005,2,0.57548,0.21717,48,192,66cbfa21754a300b
7,2,C3,13,352,0.8756,2,0.563,0.25127,48,192,bc2b237dad3353f3
7,2,C3,14,350,0.8706,2,0.55543,0.22884,48,192,215b8727c5115cbc
7,2,C3,15,363,0.903,2,0.55824,0.22407,48,192,06ae2352dc826f19
7,2,C3,16,361,0.898,2,0.56385,0.22687,48,192,9dd749ddfec7a721
7,2,C3,17,360,0.8955,2,0.57483,0.20823,48,192,f646b27a8c29c761
7,2,C3,18,358,0.8905,2,0.5624,0.21806,48,192,f2ba92a59c760e99
7,2,C3,19,355,0.8831,2,0.55177,0.2264,48,192,394019500e4354c8
7,2,C3,20,370,0.9204,2,0.56471,0.21814,48,192,50b2801795c61cd8
7,3,C0,1,334,0.8308,2,0.56039,0.2041,48,192,24499966b970a097
7,3,C0,2,324,0.806,2,0.56315,0.20961,48,192,0d672ac2497b1045
7,3,C0,3,318,0.791,2,0.56185,0.22827,48,192,e74b12b143a452b7
7,3,C0,4,323,0.8035,2,0.55343,0.17426,48,192,5971962e0664b210
7,3,C0,5,336,0.8358,2,0.53739,0.19533,48,192,b3a41fe3b71b6068
7,3,C0,6,330,0.8209,2,0.53734,0.21558,48,192,0eb9b82f5c925f08
7,3,C0,7,325,0.8085,2,0.55664,0.22796,48,192,d16790d08d829780
7,3,C0,8,328,0.8159,2,0.55764,0.16194,48,192,162150b092f8df94
7,3,C0,9,331,0.8234,2,0.55483,0.22841,48,192,f66fe61d861b2f78
7,3,C0,10,319,0.7935,2,0.56546,0.19644,48,192,520eadf569ee042c
