label,n,n_pos,prevalence,pr_auc,auroc,brier,cal_slope,cal_intercept,seed,fold
LightGBM,3273,1389,0.42438130155820347,0.7121060496947272,0.8123604251787245,0.17656363115695842,0.8742614320140424,-0.21727696797472387,23,3
RandomForest,3273,1389,0.42438130155820347,0.7099182410806608,0.8067290922458686,0.176566300030553,0.7829456481844282,0.02249561221574156,23,3
ElasticNet,3273,1388,0.4240757714634891,0.7110448028027472,0.8121251500164348,0.17496936237491797,1.0002498961691382,-0.2810414321298502,23,4
LightGBM,3273,1388,0.4240757714634891,0.7067983217213707,0.8176004632354628,0.17208310554456144,0.9511502333071522,-0.23806545450283198,23,4
RandomForest,3273,1388,0.4240757714634891,0.6879389994729449,0.8049797812244398,0.17716311572801033,0.8277405969603148,0.030973598782854817,23,4
ElasticNet,3273,1389,0.42438130155820347,0.6948471952032442,0.7948962809089923,0.18529988432499597,0.9055559229230564,-0.30592239354226897,37,0
LightGBM,3273,1389,0.42438130155820347,0.6825145727115312,0.7942103485224368,0.18549543221355158,0.839247830205736,-0.2659185699084325,37,0
RandomForest,3273,1389,0.42438130155820347,0.6793153857166581,0.7913737601628813,0.183286108565027,0.7533188295278861,-0.008760477779824428,37,0
ElasticNet,3273,1389,0.42438130155820347,0.6934288388441953,0.8056323646974486,0.17725456201425227,0.9835096186303648,-0.26873221490353577,37,1
LightGBM,3273,1389,0.42438130155820347,0.7140626554167645,0.8154303069767157,0.1733537877385262,0.9474921912587032,-0.22970177637733757,37,1
RandomForest,3273,1389,0.42438130155820347,0.7102815912043342,0.8104191792045171,0.1742208711002478,0.9031485418412373,0.026320015916416247,37,1
ElasticNet,3273,1389,0.42438130155820347,0.7068831093017061,0.8093730845481406,0.17732937101064808,1.0192859568826043,-0.3154911165065876,37,2
LightGBM,3273,1389,0.42438130155820347,0.7147499439496927,0.8081294260790347,0.17910342054951553,0.9174886826083332,-0.26926905538811274,37,2
RandomForest,3273,1389,0.42438130155820347,0.699770753487394,0.8019961587786353,0.17832295549444954,0.870255516436039,-0.016446452197732612,37,2
ElasticNet,3273,1389,0.42438130155820347,0.7143768277635649,0.8189050608435401,0.17173900179831317,1.0512290905510233,-0.2877976518558888,37,3
LightGBM,3273,1389,0.42438130155820347,0.7305784826702626,0.8243097877010603,0.16952281296368518,0.9880475405617457,-0.21925005530402286,37,3
RandomForest,3273,1389,0.42438130155820347,0.7118212585804138,0.8134617383475564,0.1732755168550769,0.8118214474879686,0.04885266798017708,37,3
ElasticNet,3273,1388,0.4240757714634891,0.6963672943322631,0.8051659162659858,0.1794200371484697,0.9802356282808241,-0.3346162729071749,37,4
LightGBM,3273,1388,0.4240757714634891,0.7064779620857077,0.8091876944480543,0.17884935725592138,0.9042529484419053,-0.2957522421535955,37,4
RandomForest,3273,1388,0.4240757714634891,0.6990944763464323,0.8001261284675772,0.1792038327052993,0.7852358748631032,-0.03134684600333373,37,4
