label,n,n_pos,prevalence,pr_auc,auroc,brier,cal_slope,cal_intercept,seed,test_client
FedAvg-equal,2266,906,0.39982347749338043,0.6791770031964379,0.8148519672769768,0.1721850819984271,1.2186861392579518,-0.2572605782243422,19,CIMAS FOURTH STREET PHARMACY
FedAvg,813,419,0.5153751537515375,0.7251361971992172,0.7761166906945471,0.18347843714948303,1.063968271419887,-0.14097462096126445,19,CIMAS HCC  MUTARE PHARMACY
FedProx,813,419,0.5153751537515375,0.7251117636063003,0.7761045757968573,0.18348154526754284,1.064032089660021,-0.14093659972280378,19,CIMAS HCC  MUTARE PHARMACY
FedAvg-equal,813,419,0.5153751537515375,0.7234926036693613,0.7720460850708115,0.1846717013306471,1.1637441514784628,-0.1776641258845732,19,CIMAS HCC  MUTARE PHARMACY
FedAvg,1347,598,0.44394951744617667,0.7304613156071779,0.8229143875222705,0.16776672490764688,1.1257030167032158,-0.069575103718821,19,CIMAS HCC CHINHOYI ST. PHARM
FedProx,1347,598,0.44394951744617667,0.730471445064198,0.8229210854160062,0.16776800024838004,1.1258263266339317,-0.06955037904051993,19,CIMAS HCC CHINHOYI ST. PHARM
FedAvg-equal,1347,598,0.44394951744617667,0.7251873517780612,0.8211037235823907,0.16893950910301023,1.225681995429432,-0.12099595559776857,19,CIMAS HCC CHINHOYI ST. PHARM
FedAvg,619,333,0.5379644588045234,0.757652698668583,0.769020769020769,0.19027876645364228,0.9205833871281514,0.055606359321012044,19,CIMAS HCC CHITUNGWIZA PHARMACY
FedProx,619,333,0.5379644588045234,0.757652698668583,0.769020769020769,0.1902792028189148,0.9206894141518874,0.05563270684858305,19,CIMAS HCC CHITUNGWIZA PHARMACY
FedAvg-equal,619,333,0.5379644588045234,0.758450520095563,0.7705222705222705,0.189391730609354,1.024664026478283,0.021579802826275418,19,CIMAS HCC CHITUNGWIZA PHARMACY
FedAvg,406,217,0.5344827586206896,0.7622860893570405,0.7997220393533758,0.1749563688284206,1.0683685281687914,0.14120216687824022,19,CIMAS HCC GWERU PHARMACY
