experiment,seed,scenario,scenario_label,round,n_min_attend,n_attend_vm,active_clients,auroc_holdout,comm_cost_bidir
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,9,5068,5068,23,0.78662,966
cimas_cold_vm,11,C0,No incentive,10,5046,4616,23,0.78717,966
cimas_cold_vm,11,C1,Random allocation,10,5046,5046,23,0.78719,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,10,5046,5046,23,0.78702,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,10,5046,5046,23,0.78702,966
cimas_cold_vm,11,C0,No incentive,11,4935,4479,23,0.78625,966
cimas_cold_vm,11,C1,Random allocation,11,4935,4935,23,0.78615,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,11,4935,4935,23,0.78589,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,11,4935,4935,23,0.78599,966
cimas_cold_vm,11,C0,No incentive,12,5041,4581,23,0.78651,966
cimas_cold_vm,11,C1,Random allocation,12,5041,5041,23,0.78654,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,12,5041,5041,23,0.78665,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,12,5041,5041,23,0.78663,966
cimas_cold_vm,11,C0,No incentive,13,5103,4661,23,0.78642,966
cimas_cold_vm,11,C1,Random allocation,13,5103,5103,23,0.78613,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,13,5103,5103,23,0.78634,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,13,5103,5103,23,0.78634,966
cimas_cold_vm,11,C0,No incentive,14,5041,4548,23,0.78618,966
cimas_cold_vm,11,C1,Random allocation,14,5041,5041,23,0.78611,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,14,5041,5041,23,0.78642,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,14,5041,5041,23,0.78643,966
cimas_cold_vm,11,C0,No incentive,15,4972,4505,23,0.78624,966
cimas_cold_vm,11,C1,Random allocation,15,4972,4972,23,0.78637,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,15,4972,4972,23,0.78615,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,15,4972,4972,23,0.78615,966
cimas_cold_vm,11,C0,No incentive,16,5144,4699,23,0.78623,966
cimas_cold_vm,11,C1,Random allocation,16,5144,5144,23,0.78629,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,16,5144,5144,23,0.78618,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,16,5144,5144,23,0.78618,966
cimas_cold_vm,11,C0,No incentive,17,5047,4600,23,0.78678,966
cimas_cold_vm,11,C1,Random allocation,17,5047,5047,23,0.78647,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,17,5047,5047,23,0.78641,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,17,5047,5047,23,0.78641,966
cimas_cold_vm,11,C0,No incentive,18,5083,4647,23,0.78677,966
cimas_cold_vm,11,C1,Random allocation,18,5083,5083,23,0.7867,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,18,5083,5083,23,0.78659,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,18,5083,5083,23,0.78659,966
cimas_cold_vm,11,C0,No incentive,19,5004,4544,23,0.78728,966
cimas_cold_vm,11,C1,Random allocation,19,5004,5004,23,0.78714,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,19,5004,5004,23,0.78726,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,19,5004,5004,23,0.78726,966
cimas_cold_vm,11,C0,No incentive,20,4936,4530,23,0.78643,966
cimas_cold_vm,11,C1,Random allocation,20,4936,4936,23,0.7864,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,20,4936,4936,23,0.78655,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,20,4936,4936,23,0.78648,966
cimas_cold_vm,11,C0,No incentive,21,5076,4633,23,0.78687,966
cimas_cold_vm,11,C1,Random allocation,21,5076,5076,23,0.78659,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,21,5076,5076,23,0.78661,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,21,5076,5076,23,0.78661,966
cimas_cold_vm,11,C0,No incentive,22,5069,4633,23,0.78654,966
cimas_cold_vm,11,C1,Random allocation,22,5069,5069,23,0.78659,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,22,5069,5069,23,0.78635,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,22,5069,5069,23,0.78636,966
cimas_cold_vm,11,C0,No incentive,23,5047,4601,23,0.78639,966
cimas_cold_vm,11,C1,Random allocation,23,5047,5047,23,0.78641,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,23,5047,5047,23,0.78661,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,23,5047,5047,23,0.78661,966
cimas_cold_vm,11,C0,No incentive,24,5020,4550,23,0.78616,966
cimas_cold_vm,11,C1,Random allocation,24,5020,5020,23,0.78623,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,24,5020,5020,23,0.78618,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,24,5020,5020,23,0.78618,966
cimas_cold_vm,11,C0,No incentive,25,4955,4508,23,0.78555,966
cimas_cold_vm,11,C1,Random allocation,25,4955,4955,23,0.78562,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,25,4955,4955,23,0.78566,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,25,4955,4955,23,0.78566,966
cimas_cold_vm,11,C0,No incentive,26,4961,4475,23,0.78638,966
cimas_cold_vm,11,C1,Random allocation,26,4961,4961,23,0.78603,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,26,4961,4961,23,0.78611,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,26,4961,4961,23,0.7861,966
cimas_cold_vm,11,C0,No incentive,27,4942,4518,23,0.78649,966
cimas_cold_vm,11,C1,Random allocation,27,4942,4942,23,0.7866,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,27,4942,4942,23,0.78628,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,27,4942,4942,23,0.78628,966
cimas_cold_vm,11,C0,No incentive,28,4988,4542,23,0.78634,966
cimas_cold_vm,11,C1,Random allocation,28,4988,4988,23,0.78657,966
cimas_cold_vm,11,C2,FL nonattendance-risk ranking,28,4988,4988,23,0.78644,966
cimas_cold_vm,11,C3,Cross-fitted DR uplift ranking,28,4988,4988,23,0.78644,966
