ratio,prox_norm,data_norm,client,round,step,mu
0.004057420738311869,0.0023309025016653904,0.5744788751277458,CIMAS HCC  MUTARE PHARMACY,1,2,0.1
0.006173087532742336,0.0034410565031815807,0.5574287558584032,CIMAS HCC  MUTARE PHARMACY,1,3,0.1
0.008347609161537999,0.004516101846177708,0.5410054254798918,CIMAS HCC  MUTARE PHARMACY,1,4,0.1
0.010581391157038959,0.0055573271706276664,0.5251981604451715,CIMAS HCC  MUTARE PHARMACY,1,5,0.1
0.012874649478612943,0.006565992658424513,0.5099938968693308,CIMAS HCC  MUTARE PHARMACY,1,6,0.1
0.015227424228866006,0.0075433264250031554,0.4953777022054446,CIMAS HCC  MUTARE PHARMACY,1,7,0.1
0.017639593151370394,0.008490521747820709,0.4813331960074767,CIMAS HCC  MUTARE PHARMACY,1,8,0.1
0.02011088471425899,0.009408735029806416,0.4678429200648467,CIMAS HCC  MUTARE PHARMACY,1,9,0.1
0.022640890640961687,0.010299084399896215,0.45488865978015935,CIMAS HCC  MUTARE PHARMACY,1,10,0.1
0.004059809180924383,0.002712220660383642,0.6680660443666696,CIMAS HCC CHINHOYI ST. PHARM,1,2,0.1
0.006180531623164187,0.004001709883219782,0.6474701736371127,CIMAS HCC CHINHOYI ST. PHARM,1,3,0.1
0.00836301930621648,0.005248922988207415,0.6276349241841084,CIMAS HCC CHINHOYI ST. PHARM,1,4,0.1
0.010607894375626965,0.00645543711562625,0.6085502821802664,CIMAS HCC CHINHOYI ST. PHARM,1,5,0.1
0.01291557198800642,0.007622798348425129,0.5902021494289038,CIMAS HCC CHINHOYI ST. PHARM,1,6,0.1
0.015286282632450085,0.00875251532037008,0.5725731710461791,CIMAS HCC CHINHOYI ST. PHARM,1,7,0.1
0.017720093171863936,0.009846054312684299,0.5556434843309921,CIMAS HCC CHINHOYI ST. PHARM,1,8,0.1
0.02021692615192854,0.010904835661775794,0.5393913782850493,CIMAS HCC CHINHOYI ST. PHARM,1,9,0.1
0.022776577166362878,0.011930231295338496,0.5237938610441175,CIMAS HCC CHINHOYI ST. PHARM,1,10,0.1
0.004058141394307192,0.00228930874094624,0.5641273968811705,CIMAS HCC CHITUNGWIZA PHARMACY,1,2,0.1
0.006175487096475483,0.003379051935738893,0.5471717263675296,CIMAS HCC CHITUNGWIZA PHARMACY,1,3,0.1
0.008352899689235667,0.004433891716584694,0.5308206588783323,CIMAS HCC CHITUNGWIZA PHARMACY,1,4,0.1
0.010591053836598172,0.005455081432248715,0.51506502718344,CIMAS HCC CHITUNGWIZA PHARMACY,1,5,0.1
0.012890449135923802,0.00644384886021351,0.499893276973216,CIMAS HCC CHITUNGWIZA PHARMACY,1,6,0.1
