seed,condition,round,client_id,n_train,n_test,prevalence,auroc
7,cold_fed,6,CIMAS HCC GWERU PHARMACY,324,82,0.5365853658536586,0.8427033492822966
7,cold_fed,6,CIMAS HIGH GLEN PHARMACY,671,168,0.42857142857142855,0.8313078703703703
7,cold_fed,6,CIMAS KWEKWE CLINIC- PHARMACY,302,76,0.32894736842105265,0.8164705882352942
7,cold_fed,6,CIMAS MANRESA - PHARRMACY,351,88,0.45454545454545453,0.6973958333333333
7,cold_fed,6,CLIQUE PHARMACY,94,24,0.4166666666666667,0.9428571428571428
7,cold_fed,6,FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY,82,21,0.38095238095238093,0.8461538461538461
7,cold_fed,6,HEALTHLINK PHARMACY,218,55,0.509090909090909,0.9537037037037037
7,cold_fed,6,KENLINK KENSINGTON PHARMACY,122,31,0.41935483870967744,0.7564102564102564
7,cold_fed,6,MEDICINE CHEST,94,24,0.3333333333333333,0.6875
7,cold_fed,6,ROWLAND SQUARE PHARMACY,1584,397,0.4836272040302267,0.7781758130081301
7,cold_fed,6,SOMMERDRIFT INV T/A KENLINK THE BRIDGE,96,25,0.48,0.9038461538461539
7,cold_fed,6,TRINITY PHARMACY -AVENUES,150,38,0.34210526315789475,0.8461538461538461
7,cold_fed,6,WATERSHED PHARMACY,97,25,0.36,0.7916666666666667
7,cold_fed,7,ASHBRITTLE   PHARMACY,88,22,0.36363636363636365,0.6428571428571429
7,cold_fed,7,BALLANTYNE PARK PHARMACY,91,23,0.30434782608695654,0.6071428571428571
7,cold_fed,7,CIMAS BORROWDALE OFFICE PARK PHARMACY,230,58,0.5172413793103449,0.6785714285714285
7,cold_fed,7,CIMAS BULAWAYO PHARMACY,858,215,0.5209302325581395,0.8627773925104022
7,cold_fed,7,CIMAS CLINIC -MASVINGO PHARMACY,236,60,0.48333333333333334,0.8064516129032259
7,cold_fed,7,CIMAS FIFE AVENUE PHARMACY,387,97,0.422680412371134,0.7369337979094077
7,cold_fed,7,CIMAS FOURTH STREET PHARMACY,1812,454,0.4008810572687225,0.8052278603749192
7,cold_fed,7,CIMAS HCC  MUTARE PHARMACY,650,163,0.5153374233128835,0.7295057263411693
