seed,condition,round,n_providers,mean_auroc,min_auroc,max_auroc,var_auroc,iqr_auroc,q25_auroc,q75_auroc
7,cold_fed,44,23,0.794395636382134,0.5982142857142857,0.9404761904761904,0.007321003399694014,0.10235808227461707,0.7448128578963231,0.8471709401709402
7,cold_fed,45,23,0.7940670547366283,0.5892857142857143,0.9391534391534392,0.007440361514814362,0.10222718012472753,0.7448882044906571,0.8471153846153846
7,cold_fed,46,23,0.7942228945254917,0.5892857142857143,0.9391534391534392,0.007445589639963115,0.10384098825752308,0.7448128578963231,0.8486538461538462
7,cold_fed,47,23,0.7941661172525959,0.5892857142857143,0.9391534391534392,0.0073620214042999866,0.10520379237915456,0.745038897679325,0.8502426900584795
7,cold_fed,48,23,0.7939837298816294,0.5892857142857143,0.9391534391534392,0.007335103098457543,0.10547076986831727,0.7448882044906571,0.8503589743589743
7,cold_fed,49,23,0.7941538610204735,0.5892857142857143,0.9391534391534392,0.007322729726634327,0.10507424585786929,0.7453402840566606,0.8504145299145299
7,cold_fed,50,23,0.7941638397712885,0.5892857142857143,0.9391534391534392,0.007318071650600241,0.10460237525308735,0.7458677102169982,0.8504700854700855
7,cold_fed,51,23,0.7936750100775456,0.5892857142857143,0.9391534391534392,0.007429602998711715,0.10420302136839033,0.746018403405666,0.8502214247740564
7,cold_fed,52,23,0.7937221095807336,0.5892857142857143,0.9391534391534392,0.007421942060635201,0.1035946051898542,0.7462444431886679,0.8498390483785221
7,cold_fed,53,23,0.793374658427014,0.5892857142857143,0.937830687830688,0.00739007014018935,0.1022628789547303,0.7466965227546715,0.8489594017094018
7,cold_fed,54,23,0.7927424049069253,0.5892857142857143,0.937830687830688,0.007438216085590266,0.10214795028283952,0.7469225625376733,0.8490705128205128
7,cold_fed,55,23,0.793083129450326,0.5892857142857143,0.937830687830688,0.0074084094579585265,0.0982972558383951,0.7508288125376733,0.8491260683760684
7,cold_fed,56,23,0.7931233934864629,0.5892857142857143,0.937830687830688,0.007404148536154721,0.09783718953339204,0.7512055455093429,0.849042735042735
7,cold_fed,57,23,0.7929899264543281,0.5892857142857143,0.937830687830688,0.007503294600434487,0.09381982842228098,0.7551117955093429,0.8489316239316239
7,cold_fed,58,23,0.793430085869427,0.5892857142857143,0.9365079365079364,0.007517372602344591,0.09404586820528271,0.7548857557263412,0.8489316239316239
7,cold_fed,59,23,0.7940055753565168,0.5892857142857142,0.9365079365079364,0.0073723352474046044,0.09368892627239145,0.7551871421036769,0.8488760683760683
7,cold_fed,60,23,0.7933071278920457,0.5803571428571428,0.9365079365079364,0.0074682881907831185,0.09353024634472429,0.7552624886980108,0.8487927350427351
7,cold_local,1,23,0.791760571709081,0.6160714285714285,0.947089947089947,0.008495020976577278,0.11908374039311131,0.73254489413026,0.8516286345233713
7,cold_local,2,23,0.7919560777646465,0.6160714285714285,0.947089947089947,0.008482607941459462,0.11886597035826807,0.7327626641651033,0.8516286345233713
7,cold_local,3,23,0.7914183608815243,0.607142857142857,0.9484126984126984,0.008606839909438283,0.11786063293486959,0.7319636792660874,0.849824312200957
7,cold_local,4,23,0.7919729815607053,0.607142857142857,0.9484126984126984,0.008647712452960072,0.12168919302540082,0.7323404122377571,0.854029605263158
7,cold_local,5,23,0.7924377923491565,0.5982142857142856,0.9484126984126984,0.00858433852032259,0.11983860715968686,0.7341909981034711,0.854029605263158
7,cold_local,6,23,0.792691600599087,0.5982142857142856,0.9484126984126984,0.008566082144991728,0.11962083712484373,0.7344087681383142,0.854029605263158
7,cold_local,7,23,0.7925436182071044,0.5982142857142856,0.9484126984126984,0.008718223723446604,0.11835648451748393,0.7356731207456739,0.8540296052631579
