experiment,scenario,scenario_label,round,n_total,n_attend,n_incentivized,participation_rate,incentive_util,active_clients,local_sample_counts,cumulative_records,auroc,pr_auc,ece,brier,comm_cost_params,model_hash,policy_hash,alloc_hash,attend_hash,agg_hash,chain_hash
betterbp,C3,DR uplift ranking,7,402,229,268,0.5697,1.0,2,"{""A"": 186, ""B"": 43}",1644,0.5212,0.20117,0.35558,0.2493,24,5bf553e583cf9079,5bf553e583cf9079,a317d65cf6cb209e,222dc755287abdfd,f865c8b72219e752,2255b24756d8df3c
betterbp,C3,DR uplift ranking,8,402,243,268,0.6045,1.0,2,"{""A"": 195, ""B"": 48}",1887,0.55994,0.19388,0.35562,0.24922,24,7bd4c017fb74d3c3,7bd4c017fb74d3c3,a317d65cf6cb209e,846268fbb9938dc8,4af1c797c86dac22,d53903c237d89ccb
betterbp,C3,DR uplift ranking,9,402,229,268,0.5697,1.0,2,"{""A"": 179, ""B"": 50}",2116,0.55172,0.17071,0.35564,0.24938,24,00877a256a18a7fe,00877a256a18a7fe,a317d65cf6cb209e,fc16c7f8827f36ce,9f05162293a9f8ce,77f8f788e0df3285
betterbp,C3,DR uplift ranking,10,402,263,268,0.6542,1.0,2,"{""A"": 213, ""B"": 50}",2379,0.55684,0.22483,0.35556,0.24906,24,999447346c27dddc,999447346c27dddc,a317d65cf6cb209e,caf522104aa7ba0e,86e3ecd54c8e0493,e8b898f2d343332f
betterbp,C3,DR uplift ranking,11,402,266,268,0.6617,1.0,2,"{""A"": 216, ""B"": 50}",2645,0.56796,0.20407,0.35562,0.24915,24,47456206a82e902e,47456206a82e902e,a317d65cf6cb209e,fd4f0fdc8926e087,c495a02e28aa25a6,86d97657a1a6f517
betterbp,C3,DR uplift ranking,12,402,253,268,0.6294,1.0,2,"{""A"": 211, ""B"": 42}",2898,0.56125,0.22887,0.35557,0.24904,24,a535f25b645421b0,a535f25b645421b0,a317d65cf6cb209e,31106ddc69a4bafb,66e31d7bd5f9c1e4,90239d8571f14916
betterbp,C3,DR uplift ranking,13,402,237,268,0.5896,1.0,2,"{""A"": 194, ""B"": 43}",3135,0.50887,0.13947,0.35558,0.24983,24,e9552b778e430ef2,e9552b778e430ef2,a317d65cf6cb209e,9b6d17ff0621e313,c70a24a0823c6301,f8f8e1c60f855718
betterbp,C3,DR uplift ranking,14,402,234,268,0.5821,1.0,2,"{""A"": 181, ""B"": 53}",3369,0.54285,0.2044,0.35548,0.24893,24,dba0999660fd8d9c,dba0999660fd8d9c,a317d65cf6cb209e,9fbd2b2f0a19b991,08607fda711f1738,31c38f4d115941cb
betterbp,C3,DR uplift ranking,15,402,232,268,0.5771,1.0,2,"{""A"": 192, ""B"": 40}",3601,0.55779,0.21354,0.35549,0.24892,24,2d23f92c03a188fd,2d23f92c03a188fd,a317d65cf6cb209e,12cdb2cc851a71c7,1bf09342920ed677,cc6a1934960950d7
betterbp,C3,DR uplift ranking,16,402,221,268,0.5498,1.0,2,"{""A"": 181, ""B"": 40}",3822,0.55298,0.21454,0.35556,0.24909,24,15625540a601c298,15625540a601c298,a317d65cf6cb209e,a46a9745e2a6f8ab,ef84c3ecbb11d4b8,3af348ce54cf3aad
betterbp,C3,DR uplift ranking,17,402,209,268,0.5199,1.0,2,"{""A"": 176, ""B"": 33}",4031,0.51834,0.17036,0.35548,0.24958,24,eaf49ca49d5c26c0,eaf49ca49d5c26c0,a317d65cf6cb209e,0c845c0f3285ba82,fd441d0c93a69cd9,6d535a475ea7ab03
betterbp,C3,DR uplift ranking,18,402,243,268,0.6045,1.0,2,"{""A"": 197, ""B"": 46}",4274,0.5634,0.21917,0.35559,0.24897,24,a6ec453fd52b6f12,a6ec453fd52b6f12,a317d65cf6cb209e,391c4be4651db992,878628935e2346e1,c92f8d1da78a1e01
betterbp,C3,DR uplift ranking,19,402,238,268,0.592,1.0,2,"{""A"": 195, ""B"": 43}",4512,0.56716,0.24893,0.35551,0.24881,24,62f66eac86a7c735,62f66eac86a7c735,a317d65cf6cb209e,84d96d65c9b5a2e8,ed96cf5a536f462f,96d490da7be0875e
betterbp,C3,DR uplift ranking,20,402,234,268,0.5821,1.0,2,"{""A"": 189, ""B"": 45}",4746,0.54581,0.22508,0.35539,0.24888,24,60f23c0e6c98374a,60f23c0e6c98374a,a317d65cf6cb209e,47fdb7763b122c20,0c57ba0cd94130a2,e5f4d2f3460553da
cimas,C0,No incentive,1,12649,5736,0,0.4535,0.0,23,"{""ASHBRITTLE   PHARMACY"": 32, ""BALLANTYNE PARK PHARMACY"": 26, ""CIMAS BORROWDALE OFFICE PARK PHARMACY"": 157, ""CIMAS BULAWAYO PHARMACY"": 567, ""CIMAS CLINIC -MASVINGO PHARMACY"": 135, ""CIMAS FIFE AVENUE PHARMACY"": 203, ""CIMAS FOURTH STREET PHARMACY"": 874, ""CIMAS HCC  MUTARE PHARMACY"": 431, ""CIMAS HCC CHINHOYI ST. PHARM"": 594, ""CIMAS HCC CHITUNGWIZA PHARMACY"": 343, ""CIMAS HCC GWERU PHARMACY"": 203, ""CIMAS HIGH GLEN PHARMACY"": 374, ""CIMAS KWEKWE CLINIC- PHARMACY"": 117, ""CIMAS MANRESA - PHARRMACY"": 213, ""CLIQUE PHARMACY"": 43, ""FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY"": 37, ""HEALTHLINK PHARMACY"": 140, ""KENLINK KENSINGTON PHARMACY"": 67, ""MEDICINE CHEST"": 39, ""ROWLAND SQUARE PHARMACY"": 973, ""SOMMERDRIFT INV T/A KENLINK THE BRIDGE"": 59, ""TRINITY PHARMACY -AVENUES"": 55, ""WATERSHED PHARMACY"": 54}",5736,0.7848,0.83901,0.11505,0.2041,483,ee90ff19da16ecc7,ee90ff19da16ecc7,c5a6bfa0da863230,ced58d900b3331d2,789e14dccf9cf5ee,2ccda45bf786fd8d
cimas,C0,No incentive,2,12649,5765,0,0.4558,0.0,23,"{""ASHBRITTLE   PHARMACY"": 36, ""BALLANTYNE PARK PHARMACY"": 38, ""CIMAS BORROWDALE OFFICE PARK PHARMACY"": 155, ""CIMAS BULAWAYO PHARMACY"": 568, ""CIMAS CLINIC -MASVINGO PHARMACY"": 138, ""CIMAS FIFE AVENUE PHARMACY"": 228, ""CIMAS FOURTH STREET PHARMACY"": 909, ""CIMAS HCC  MUTARE PHARMACY"": 416, ""CIMAS HCC CHINHOYI ST. PHARM"": 618, ""CIMAS HCC CHITUNGWIZA PHARMACY"": 334, ""CIMAS HCC GWERU PHARMACY"": 218, ""CIMAS HIGH GLEN PHARMACY"": 354, ""CIMAS KWEKWE CLINIC- PHARMACY"": 122, ""CIMAS MANRESA - PHARRMACY"": 200, ""CLIQUE PHARMACY"": 34, ""FAREPLAN ENTERPRISE P/L T/A CHINHOYI TOWN PHARMACY"": 38, ""HEALTHLINK PHARMACY"": 139, ""KENLINK KENSINGTON PHARMACY"": 70, ""MEDICINE CHEST"": 35, ""ROWLAND SQUARE PHARMACY"": 961, ""SOMMERDRIFT INV T/A KENLINK THE BRIDGE"": 58, ""TRINITY PHARMACY -AVENUES"": 51, ""WATERSHED PHARMACY"": 45}",11501,0.78475,0.83898,0.11434,0.20371,483,d3a8c5dc1265765d,d3a8c5dc1265765d,c5a6bfa0da863230,f3a2a4c310c59fd2,a999137210a2fb53,61bb1805d745d2c3
