assigned_provider,n_pids,client_primary,client_sensitivity
MEDIX LIMITED T/A MEDIX MALBEREIGN,3,False,False
EVOLUTION PHARMACY MOTTO - MOTTO,3,False,False
HWANGE  PHARMACY,2,False,False
HEALTH PARADISE PHARMACY,2,False,False
MAINSTREET PHARMACY- PARKTOWN,2,False,False
GUARDIAN PHARMACY,2,False,False
OLEIFERA PHARMACY,2,False,False
HARARE PHARMACY,2,False,False
SUPERMED PHARMACY,2,False,False
PHARMAPRIX PHARMACY,2,False,False
MEDPOINT PHARMACY,2,False,False
FOUR SEASONS PHARMACY,2,False,False
STAITON INV PVT LTD T/A ARDBENNIE  PHARMACY,2,False,False
TOTAL HEALTH  PHARMACY,2,False,False
NEW PLATINUM PHARMACY,2,False,False
FAMILY CARE PHARMACY MARONDERA,2,False,False
BEITBRIDGE MEDICAL CENTRE PHARMACY,2,False,False
MAINSTREET PHARMACY LEOPOLD TAKAWIRA,2,False,False
NEWDAY PHARMACY,2,False,False
SIEGMED PHARMACY,2,False,False
PHARMACARE PHARMACY,2,False,False
PROMED PHARMACY,2,False,False
NECTACARE PHARMACY,1,False,False
BOOTIES BULAWAYO PHARMACY,1,False,False
MICHELLES PHARMACY,1,False,False
HEALTHLINK PHARMACY KARIBA,1,False,False
CLINIMED PHARMACY,1,False,False
HATCLIFF PHARMACY,1,False,False
FIRSTCARE PHARMACY,1,False,False
MEDIX LIMITED T/A MEDIX MT PLEASANT,1,False,False
CHISI  PHARMACY,1,False,False
COPACABANA  PHARMACY,1,False,False
CAREPOINT PHARMACY J.NYERERE,1,False,False
MEDICAL CENTRE PHARMACY,1,False,False
BERATITE INVESTMENTS P/L T/A MAKONI PHARMACY,1,False,False
JG PHARMACY,1,False,False
CHLORIC PHARMACY,1,False,False
DR J. MANDIZVIDZA,1,False,False
GREENWOOD PHARMACY-MAIN STREET,1,False,False
MURAPI  PHARMACY,1,False,False
MILTON PARK PHARMACY,1,False,False
"VICTORIA FALLS PHARMACY,",1,False,False
HEALTH PURE PHARMACY,1,False,False
CLIQUE PHARMACY DOWNTOWN,1,False,False
WORD PHARMACY,1,False,False
MEDLINE PHARMACY,1,False,False
MED-CHIP NGEZI,1,False,False
GURUVE PHARMACY,1,False,False
CAMERON PHARMACY (LABBY INVES),1,False,False
BAINES PHARMACY,1,False,False
OCEAN PHARMACY,1,False,False
DIS-SMAT PHARMACY,1,False,False
