dataset,attack,f,f_pct,defense,krum_applicable,auroc_mean,auroc_lo95,auroc_hi95,degradation_mean,degradation_lo95,degradation_hi95,bsr_mean,bsr_lo95,bsr_hi95,conv_fail_rate,comm_params_round
cimas,alie,7,30.4,clipping,True,0.79053,0.7903739999999999,0.79069,-0.0006099999999999994,-0.0009600000000000053,-0.00025894999999998675,,,,0.0,966
cimas,alie,7,30.4,coord_median,True,0.7881440000000002,0.7877254,0.78858975,-0.0020380000000000064,-0.0026891500000000407,-0.0013745499999999937,,,,0.0,966
cimas,alie,7,30.4,fedavg,True,0.79053,0.7903739999999999,0.79069,-0.0006099999999999994,-0.0009600000000000053,-0.00025894999999998675,,,,0.0,966
cimas,alie,7,30.4,krum,True,0.78696,0.7864260000000001,0.78745935,-0.005011999999999994,-0.005949249999999969,-0.0042159000000000415,,,,0.0,966
cimas,alie,7,30.4,trimmed_mean,True,0.7886,0.788142,0.78907565,-0.003375999999999979,-0.003964099999999979,-0.0027879999999999685,,,,0.0,966
cimas,backdoor,2,8.7,clipping,True,0.79138,0.7911860000000001,0.791654,0.00024000000000001798,0.00017199999999997217,0.0003140000000000587,0.4083,0.39612600000000003,0.42347799999999997,0.0,966
cimas,backdoor,2,8.7,coord_median,True,0.7903079999999999,0.7900968500000001,0.79064315,0.00012599999999998168,1.7999999999940285e-05,0.00023105000000001426,0.378816,0.37612504999999996,0.38094799999999995,0.0,966
cimas,backdoor,2,8.7,fedavg,True,0.79138,0.7911860000000001,0.791654,0.00024000000000001798,0.00017199999999997217,0.0003140000000000587,0.4083,0.39612600000000003,0.42347799999999997,0.0,966
cimas,backdoor,2,8.7,krum,True,0.7914420000000001,0.79025265,0.7923247999999999,-0.0005300000000000082,-0.0015900000000000248,0.0,0.37494,0.369406,0.37992,0.0,966
cimas,backdoor,2,8.7,trimmed_mean,True,0.792028,0.7917660000000001,0.7922786,5.20000000000298e-05,-1.9999999999686936e-06,0.0001280000000000392,0.37019599999999997,0.3669461,0.372806,0.0,966
cimas,backdoor,5,21.7,clipping,True,0.79047,0.789598,0.7910943,-0.0006699999999999706,-0.001495999999999964,-9.399999999999409e-05,0.46063200000000004,0.425216,0.49850000000000005,0.0,966
cimas,backdoor,5,21.7,coord_median,True,0.790446,0.790014,0.79087965,0.00026400000000001975,-0.00015339999999998513,0.0006143000000000251,0.380394,0.37565,0.384268,0.0,966
cimas,backdoor,5,21.7,fedavg,True,0.79047,0.789598,0.7910943,-0.0006699999999999706,-0.001495999999999964,-9.399999999999409e-05,0.46063200000000004,0.425216,0.49850000000000005,0.0,966
cimas,backdoor,5,21.7,krum,True,0.7919720000000001,0.7916866499999999,0.79239335,0.0,0.0,0.0,0.37588999999999995,0.371464,0.37992,0.0,966
cimas,backdoor,5,21.7,trimmed_mean,True,0.7912099999999999,0.7909273,0.7914299999999999,-0.000766,-0.0010199999999999988,-0.0005067500000000138,0.379606,0.37430220000000003,0.384746,0.0,966
cimas,backdoor,7,30.4,clipping,True,0.790502,0.7895860000000001,0.7912771500000001,-0.000637999999999983,-0.0015339999999999464,3.399999999997849e-05,0.467586,0.437072,0.505136,0.0,966
cimas,backdoor,7,30.4,coord_median,True,0.79079,0.79040265,0.79118,0.0006079999999999864,0.00027399999999997424,0.0009419999999999984,0.382926,0.37881599999999993,0.386878,0.0,966
cimas,backdoor,7,30.4,fedavg,True,0.790502,0.7895860000000001,0.7912771500000001,-0.000637999999999983,-0.0015339999999999464,3.399999999997849e-05,0.467586,0.437072,0.505136,0.0,966
