pr_auc,auroc,mcc,bal_acc,sens,spec,brier,ece,model,outcome,site_test,seed,fold,n_test,n_pos_test
0.2633527707612311,0.6181818181818182,-0.06513389472789297,0.4818181818181818,0.0,0.9636363636363636,0.1441795180566227,0.24483831369917156,FL-FedAvg-E,Y6-base,A,7,2,62,7
0.17847222222222223,0.23214285714285715,0.0,0.5,0.0,1.0,0.19894540278888634,0.12965498870765793,FL-FedAvg-E,Y6-base,B,7,2,18,4
0.17839971479877498,0.5526960784313726,0.0035555681975982887,0.5024509803921569,0.4166666666666667,0.5882352941176471,0.23627331285146563,0.3296095300829394,LR-local-A,Y6-base,all,7,3,80,12
0.19669100191396205,0.6064814814814815,0.08921722983855179,0.5648148148148149,0.5,0.6296296296296297,0.23257741545680052,0.3483063431111234,LR-local-A,Y6-base,A,7,3,62,8
0.21271963330786858,0.375,-0.2672612419124244,0.3392857142857143,0.25,0.42857142857142855,0.24900362609975657,0.2652093963191945,LR-local-A,Y6-base,B,7,3,18,4
0.16592373793071535,0.5490196078431373,0.025149772741392844,0.5171568627450981,0.4166666666666667,0.6176470588235294,0.24683714320822983,0.3197396819992628,EN-compact,Y6-base,all,7,3,80,12
0.15751039197730374,0.5578703703703703,0.007248089700593803,0.5046296296296297,0.25,0.7592592592592593,0.21190770374104548,0.2995145737561819,EN-compact,Y6-base,A,7,3,62,8
0.1868673605805959,0.26785714285714285,-0.236227795630767,0.4107142857142857,0.75,0.07142857142857142,0.36714965692853146,0.45040075646307876,EN-compact,Y6-base,B,7,3,18,4
0.17895659248091572,0.5906862745098038,-0.003701647803626497,0.49754901960784315,0.3333333333333333,0.6617647058823529,0.24625354613367065,0.3272807333436314,EN-full,Y6-base,all,7,3,80,12
0.1783230789872156,0.6180555555555556,-0.06678230711206282,0.46064814814814814,0.125,0.7962962962962963,0.2186862115923247,0.3144651536276923,EN-full,Y6-base,A,7,3,62,8
0.19366883116883116,0.3035714285714286,-0.11952286093343938,0.4464285714285714,0.75,0.14285714285714285,0.34120769844275134,0.3754586843325614,EN-full,Y6-base,B,7,3,18,4
0.13382687723129882,0.4276960784313726,-0.140028008402801,0.4411764705882353,0.0,0.8823529411764706,0.2126275478487897,0.23121126235292375,GBM-full,Y6-base,all,7,3,80,12
0.12325881422855113,0.43518518518518523,-0.11399759467612823,0.4537037037037037,0.0,0.9074074074074074,0.17225430938373346,0.19315888778594867,GBM-full,Y6-base,A,7,3,62,8
0.1994047619047619,0.32142857142857145,-0.23904572186687875,0.39285714285714285,0.0,0.7857142857142857,0.35169092478398367,0.3958554223500129,GBM-full,Y6-base,B,7,3,18,4
